AgentID,AgentName,Email,TeamLead,Department,Role
A001,Agent_1,agent1@company.com,TL02,Support,Support Agent
A002,Agent_2,agent2@company.com,TL03,Support,Support Agent
A003,Agent_3,agent3@company.com,TL04,Support,Support Agent
A004,Agent_4,agent4@company.com,TL05,Support,Support Agent
A005,Agent_5,agent5@company.com,TL06,Support,Support Agent
A006,Agent_6,agent6@company.com,TL07,Support,Support Agent
A007,Agent_7,agent7@company.com,TL08,Support,Support Agent
A008,Agent_8,agent8@company.com,TL09,Support,Support Agent
A009,Agent_9,agent9@company.com,TL12,Support,Support Agent
A010,Agent_10,agent10@company.com,TL01,Support,Support Agent
A011,Agent_11,agent11@company.com,TL02,Support,Support Agent
A012,Agent_12,agent12@company.com,TL03,Support,Support Agent
A013,Agent_13,agent13@company.com,TL04,Support,Support Agent
A014,Agent_14,agent14@company.com,TL05,Support,Support Agent
A015,Agent_15,agent15@company.com,TL06,Support,Support Agent
A016,Agent_16,agent16@company.com,TL07,Support,Support Agent
A017,Agent_17,agent17@company.com,TL08,Support,Support Agent
A018,Agent_18,agent18@company.com,TL09,Support,Support Agent
A019,Agent_19,agent19@company.com,TL12,Support,Support Agent
A020,Agent_20,agent20@company.com,TL01,Support,Support Agent
A021,Agent_21,agent21@company.com,TL02,Support,Support Agent
A022,Agent_22,agent22@company.com,TL03,Support,Support Agent
A023,Agent_23,agent23@company.com,TL04,Support,Support Agent
A024,Agent_24,agent24@company.com,TL05,Support,Support Agent
A025,Agent_25,agent25@company.com,TL06,Support,Support Agent
A026,Agent_26,agent26@company.com,TL07,Support,Support Agent
A027,Agent_27,agent27@company.com,TL08,Support,Support Agent
A028,Agent_28,agent28@company.com,TL09,Support,Support Agent
A029,Agent_29,agent29@company.com,TL12,Support,Support Agent
A030,Agent_30,agent30@company.com,TL01,Support,Support Agent
A031,Agent_31,agent31@company.com,TL02,Support,Support Agent
A032,Agent_32,agent32@company.com,TL03,Support,Support Agent
A033,Agent_33,agent33@company.com,TL04,Support,Support Agent
A034,Agent_34,agent34@company.com,TL05,Support,Support Agent
A035,Agent_35,agent35@company.com,TL06,Support,Support Agent
A036,Agent_36,agent36@company.com,TL07,Support,Support Agent
A037,Agent_37,agent37@company.com,TL08,Support,Support Agent
A038,Agent_38,agent38@company.com,TL09,Support,Support Agent
A039,Agent_39,agent39@company.com,TL12,Support,Support Agent
A040,Agent_40,agent40@company.com,TL01,Support,Support Agent
A041,Agent_41,agent41@company.com,TL02,Support,Support Agent
A042,Agent_42,agent42@company.com,TL03,Support,Support Agent
A043,Agent_43,agent43@company.com,TL04,Support,Support Agent
A044,Agent_44,agent44@company.com,TL05,Support,Support Agent
A045,Agent_45,agent45@company.com,TL06,Support,Support Agent
A046,Agent_46,agent46@company.com,TL07,Support,Support Agent
A047,Agent_47,agent47@company.com,TL08,Support,Support Agent
A048,Agent_48,agent48@company.com,TL09,Support,Support Agent
A049,Agent_49,agent49@company.com,TL12,Support,Support Agent
A050,Agent_50,agent50@company.com,TL01,Support,Support Agent
