AgentID,AgentName,Email,TeamLead,Department,Role,TicketID,CustomerID,Status,ResolutionTime,Priority,Category,CreatedDate,ResolvedDate,ResolutionMinutes
A024,Agent_24,agent24@company.com,TL05,Support,Support Agent,T10003,C1095,Resolved,1,Medium,Technical,2026-01-01 09:02:00,2026-01-01 10:02:00,90
A011,Agent_11,agent11@company.com,TL02,Support,Support Agent,T10008,C1486,Resolved,1,High,Billing,2026-01-01 09:40:00,2026-01-01 10:36:00,109
A041,Agent_41,agent41@company.com,TL02,Support,Support Agent,T10009,C3490,Resolved,0,Medium,General,2026-01-01 09:31:00,2026-01-01 10:39:00,3
A014,Agent_14,agent14@company.com,TL05,Support,Support Agent,T10013,C7851,Resolved,1,Low,Billing,2026-01-01 09:41:00,2026-01-01 10:37:00,79
A040,Agent_40,agent40@company.com,TL01,Support,Support Agent,T10015,C5092,Resolved,1,Low,Technical,2026-01-01 09:16:00,2026-01-01 10:51:00,82
A008,Agent_8,agent8@company.com,TL09,Support,Support Agent,T10016,C4981,Resolved,1,High,Billing,2026-01-01 09:41:00,2026-01-01 10:49:00,93
A005,Agent_5,agent5@company.com,TL06,Support,Support Agent,T10017,C9530,Resolved,1,Low,General,2026-01-01 09:36:00,2026-01-01 10:45:00,108
A048,Agent_48,agent48@company.com,TL09,Support,Support Agent,T10018,C1451,Resolved,1,High,Account,2026-01-01 09:53:00,2026-01-01 10:20:00,88
A023,Agent_23,agent23@company.com,TL04,Support,Support Agent,T10019,C4156,Resolved,1,Medium,General,2026-01-01 09:31:00,2026-01-01 10:17:00,107
A008,Agent_8,agent8@company.com,TL09,Support,Support Agent,T10023,C1875,Resolved,1,Low,Account,2026-01-01 09:55:00,2026-01-01 10:39:00,87
A009,Agent_9,agent9@company.com,TL12,Support,Support Agent,T10027,C3559,Resolved,1,Low,Billing,2026-01-01 09:54:00,2026-01-01 10:29:00,94
A028,Agent_28,agent28@company.com,TL09,Support,Support Agent,T10028,C3713,Resolved,0,Medium,Technical,2026-01-01 09:09:00,2026-01-01 10:09:00,34
A031,Agent_31,agent31@company.com,TL02,Support,Support Agent,T10029,C4873,Resolved,1,Medium,General,2026-01-01 09:14:00,2026-01-01 10:20:00,93
A041,Agent_41,agent41@company.com,TL02,Support,Support Agent,T10031,C8214,Resolved,0,Low,Billing,2026-01-01 09:11:00,2026-01-01 10:01:00,56
A049,Agent_49,agent49@company.com,TL12,Support,Support Agent,T10032,C7238,Resolved,1,Low,Account,2026-01-01 09:12:00,2026-01-01 10:40:00,77
A028,Agent_28,agent28@company.com,TL09,Support,Support Agent,T10033,C2602,Resolved,0,Low,Technical,2026-01-01 09:50:00,2026-01-01 10:56:00,37
A015,Agent_15,agent15@company.com,TL06,Support,Support Agent,T10034,C1150,Resolved,1,High,Account,2026-01-01 09:00:00,2026-01-01 10:40:00,94
A008,Agent_8,agent8@company.com,TL09,Support,Support Agent,T10035,C8520,Resolved,0,Low,General,2026-01-01 09:56:00,2026-01-01 10:15:00,17
A031,Agent_31,agent31@company.com,TL02,Support,Support Agent,T10036,C8014,Resolved,1,Medium,General,2026-01-01 09:40:00,2026-01-01 10:43:00,92
A032,Agent_32,agent32@company.com,TL03,Support,Support Agent,T10038,C9274,Resolved,1,Low,Billing,2026-01-01 09:31:00,2026-01-01 10:09:00,71
A023,Agent_23,agent23@company.com,TL04,Support,Support Agent,T10044,C7560,Resolved,0,Low,Technical,2026-01-01 09:18:00,2026-01-01 10:21:00,49
A021,Agent_21,agent21@company.com,TL02,Support,Support Agent,T10045,C4878,Resolved,0,High,General,2026-01-01 09:15:00,2026-01-01 10:27:00,26
A045,Agent_45,agent45@company.com,TL06,Support,Support Agent,T10047,C3749,Resolved,1,Low,Account,2026-01-01 09:28:00,2026-01-01 10:31:00,113
A034,Agent_34,agent34@company.com,TL05,Support,Support Agent,T10052,C1909,Resolved,1,Medium,Technical,2026-01-01 09:34:00,2026-01-01 10:35:00,63
A013,Agent_13,agent13@company.com,TL04,Support,Support Agent,T10053,C1758,Resolved,0,Low,Technical,2026-01-01 09:32:00,2026-01-01 10:52:00,11
A013,Agent_13,agent13@company.com,TL04,Support,Support Agent,T10054,C2560,Resolved,0,Low,Billing,2026-01-01 09:25:00,2026-01-01 10:19:00,45
A012,Agent_12,agent12@company.com,TL03,Support,Support Agent,T10055,C3896,Resolved,1,Low,Billing,2026-01-01 09:32:00,2026-01-01 10:33:00,104
A042,Agent_42,agent42@company.com,TL03,Support,Support Agent,T10058,C5452,Resolved,1,Medium,General,2026-01-01 09:29:00,2026-01-01 10:59:00,66
A028,Agent_28,agent28@company.com,TL09,Support,Support Agent,T10059,C5798,Resolved,0,Low,Technical,2026-01-01 09:58:00,2026-01-01 10:35:00,29
A028,Agent_28,agent28@company.com,TL09,Support,Support Agent,T10067,C1092,Resolved,1,Medium,Billing,2026-01-01 09:18:00,2026-01-01 10:21:00,82
A010,Agent_10,agent10@company.com,TL01,Support,Support Agent,T10070,C3705,Resolved,0,High,Technical,2026-01-01 09:44:00,2026-01-01 10:29:00,39
A036,Agent_36,agent36@company.com,TL07,Support,Support Agent,T10071,C8443,Resolved,1,Medium,Billing,2026-01-01 09:34:00,2026-01-01 10:44:00,113
A011,Agent_11,agent11@company.com,TL02,Support,Support Agent,T10072,C8496,Resolved,1,High,Technical,2026-01-01 09:51:00,2026-01-01 10:32:00,70
A028,Agent_28,agent28@company.com,TL09,Support,Support Agent,T10073,C6449,Resolved,0,Low,Technical,2026-01-01 09:41:00,2026-01-01 10:42:00,33
A010,Agent_10,agent10@company.com,TL01,Support,Support Agent,T10074,C5984,Resolved,0,Low,Technical,2026-01-01 09:10:00,2026-01-01 10:54:00,21
A008,Agent_8,agent8@company.com,TL09,Support,Support Agent,T10077,C1791,Resolved,0,Medium,Billing,2026-01-01 09:40:00,2026-01-01 10:50:00,23
A026,Agent_26,agent26@company.com,TL07,Support,Support Agent,T10078,C1123,Resolved,0,High,Billing,2026-01-01 09:46:00,2026-01-01 10:06:00,53
A042,Agent_42,agent42@company.com,TL03,Support,Support Agent,T10079,C2932,Resolved,0,Low,Billing,2026-01-01 09:09:00,2026-01-01 10:15:00,38
A035,Agent_35,agent35@company.com,TL06,Support,Support Agent,T10082,C5467,Resolved,0,High,Technical,2026-01-01 09:23:00,2026-01-01 10:02:00,20
A028,Agent_28,agent28@company.com,TL09,Support,Support Agent,T10083,C7326,Resolved,0,Low,Technical,2026-01-01 09:41:00,2026-01-01 10:47:00,10
A028,Agent_28,agent28@company.com,TL09,Support,Support Agent,T10092,C4693,Resolved,1,Medium,General,2026-01-01 09:05:00,2026-01-01 10:19:00,99
A018,Agent_18,agent18@company.com,TL09,Support,Support Agent,T10095,C3993,Resolved,0,Low,Technical,2026-01-01 09:23:00,2026-01-01 10:34:00,45
A003,Agent_3,agent3@company.com,TL04,Support,Support Agent,T10097,C8267,Resolved,1,Medium,General,2026-01-01 09:17:00,2026-01-01 10:53:00,63
A042,Agent_42,agent42@company.com,TL03,Support,Support Agent,T10098,C9041,Resolved,0,Low,Account,2026-01-01 09:06:00,2026-01-01 10:48:00,10
A021,Agent_21,agent21@company.com,TL02,Support,Support Agent,T10099,C1008,Resolved,1,High,Technical,2026-01-01 09:18:00,2026-01-01 10:07:00,71
A005,Agent_5,agent5@company.com,TL06,Support,Support Agent,T10100,C6130,Resolved,0,Low,Account,2026-01-01 09:58:00,2026-01-01 10:00:00,43
A006,Agent_6,agent6@company.com,TL07,Support,Support Agent,T10102,C5494,Resolved,0,Low,Billing,2026-01-01 09:44:00,2026-01-01 10:25:00,58
A014,Agent_14,agent14@company.com,TL05,Support,Support Agent,T10103,C3015,Resolved,1,High,General,2026-01-01 09:34:00,2026-01-01 10:36:00,61
A049,Agent_49,agent49@company.com,TL12,Support,Support Agent,T10104,C3367,Resolved,0,Low,Billing,2026-01-01 09:46:00,2026-01-01 10:14:00,3
A038,Agent_38,agent38@company.com,TL09,Support,Support Agent,T10105,C6159,Resolved,0,High,Technical,2026-01-01 09:58:00,2026-01-01 10:13:00,3
A023,Agent_23,agent23@company.com,TL04,Support,Support Agent,T10106,C6721,Resolved,1,Low,Technical,2026-01-01 09:35:00,2026-01-01 10:21:00,92
A039,Agent_39,agent39@company.com,TL12,Support,Support Agent,T10107,C4558,Resolved,0,Low,Billing,2026-01-01 09:51:00,2026-01-01 10:05:00,54
A023,Agent_23,agent23@company.com,TL04,Support,Support Agent,T10108,C4288,Resolved,0,Low,Account,2026-01-01 09:57:00,2026-01-01 10:29:00,1
A011,Agent_11,agent11@company.com,TL02,Support,Support Agent,T10109,C6753,Resolved,1,High,Billing,2026-01-01 09:21:00,2026-01-01 10:23:00,95
A016,Agent_16,agent16@company.com,TL07,Support,Support Agent,T10112,C1361,Resolved,1,Low,Technical,2026-01-01 09:37:00,2026-01-01 10:18:00,102
A004,Agent_4,agent4@company.com,TL05,Support,Support Agent,T10113,C9559,Resolved,0,High,Billing,2026-01-01 09:14:00,2026-01-01 10:10:00,4
A040,Agent_40,agent40@company.com,TL01,Support,Support Agent,T10115,C3250,Resolved,1,Medium,Billing,2026-01-01 09:53:00,2026-01-01 10:42:00,99
A007,Agent_7,agent7@company.com,TL08,Support,Support Agent,T10116,C4211,Resolved,1,Medium,Billing,2026-01-01 09:53:00,2026-01-01 10:50:00,101
A039,Agent_39,agent39@company.com,TL12,Support,Support Agent,T10117,C1287,Resolved,0,Low,Account,2026-01-01 09:35:00,2026-01-01 10:00:00,41
A037,Agent_37,agent37@company.com,TL08,Support,Support Agent,T10118,C9149,Resolved,1,Low,Technical,2026-01-01 09:22:00,2026-01-01 10:43:00,60
A046,Agent_46,agent46@company.com,TL07,Support,Support Agent,T10121,C9886,Resolved,0,High,Technical,2026-01-01 09:31:00,2026-01-01 10:38:00,38
A002,Agent_2,agent2@company.com,TL03,Support,Support Agent,T10123,C1187,Resolved,0,Low,Account,2026-01-01 09:19:00,2026-01-01 10:06:00,6
A047,Agent_47,agent47@company.com,TL08,Support,Support Agent,T10124,C1438,Resolved,1,Low,General,2026-01-01 09:32:00,2026-01-01 10:50:00,101
A013,Agent_13,agent13@company.com,TL04,Support,Support Agent,T10126,C4105,Resolved,0,Medium,Account,2026-01-01 09:58:00,2026-01-01 10:07:00,57
A039,Agent_39,agent39@company.com,TL12,Support,Support Agent,T10128,C5836,Resolved,1,Low,General,2026-01-01 09:51:00,2026-01-01 10:57:00,96
A012,Agent_12,agent12@company.com,TL03,Support,Support Agent,T10129,C3245,Resolved,0,Medium,Billing,2026-01-01 09:04:00,2026-01-01 10:30:00,22
A012,Agent_12,agent12@company.com,TL03,Support,Support Agent,T10132,C8660,Resolved,0,High,Billing,2026-01-01 09:05:00,2026-01-01 10:14:00,44
A041,Agent_41,agent41@company.com,TL02,Support,Support Agent,T10134,C1283,Resolved,0,Low,Account,2026-01-01 09:56:00,2026-01-01 10:56:00,15
A035,Agent_35,agent35@company.com,TL06,Support,Support Agent,T10135,C9200,Resolved,0,Low,General,2026-01-01 09:32:00,2026-01-01 10:23:00,38
A029,Agent_29,agent29@company.com,TL12,Support,Support Agent,T10148,C5831,Resolved,1,Low,Account,2026-01-01 09:58:00,2026-01-01 10:49:00,107
A022,Agent_22,agent22@company.com,TL03,Support,Support Agent,T10150,C1105,Resolved,1,High,Technical,2026-01-01 09:56:00,2026-01-01 10:14:00,109
A043,Agent_43,agent43@company.com,TL04,Support,Support Agent,T10154,C3388,Resolved,1,High,General,2026-01-01 09:48:00,2026-01-01 10:04:00,88
A010,Agent_10,agent10@company.com,TL01,Support,Support Agent,T10158,C1454,Resolved,0,Medium,Technical,2026-01-01 09:12:00,2026-01-01 10:09:00,59
A006,Agent_6,agent6@company.com,TL07,Support,Support Agent,T10160,C3457,Resolved,1,Low,General,2026-01-01 09:23:00,2026-01-01 10:41:00,62
A012,Agent_12,agent12@company.com,TL03,Support,Support Agent,T10161,C7352,Resolved,0,High,Technical,2026-01-01 09:58:00,2026-01-01 10:13:00,41
A034,Agent_34,agent34@company.com,TL05,Support,Support Agent,T10162,C7812,Resolved,1,Low,Billing,2026-01-01 09:48:00,2026-01-01 10:01:00,96
A010,Agent_10,agent10@company.com,TL01,Support,Support Agent,T10164,C9905,Resolved,1,Medium,Technical,2026-01-01 09:19:00,2026-01-01 10:03:00,74
A023,Agent_23,agent23@company.com,TL04,Support,Support Agent,T10165,C6710,Resolved,1,High,Technical,2026-01-01 09:07:00,2026-01-01 10:54:00,68
A037,Agent_37,agent37@company.com,TL08,Support,Support Agent,T10170,C3390,Resolved,0,High,Account,2026-01-01 09:59:00,2026-01-01 10:43:00,7
A022,Agent_22,agent22@company.com,TL03,Support,Support Agent,T10172,C3077,Resolved,1,High,Technical,2026-01-01 09:47:00,2026-01-01 10:18:00,112
A020,Agent_20,agent20@company.com,TL01,Support,Support Agent,T10173,C7024,Resolved,0,Low,General,2026-01-01 09:05:00,2026-01-01 10:26:00,3
A014,Agent_14,agent14@company.com,TL05,Support,Support Agent,T10176,C6399,Resolved,0,High,General,2026-01-01 09:37:00,2026-01-01 10:14:00,50
A034,Agent_34,agent34@company.com,TL05,Support,Support Agent,T10177,C3357,Resolved,1,Medium,Technical,2026-01-01 09:30:00,2026-01-01 10:19:00,82
A007,Agent_7,agent7@company.com,TL08,Support,Support Agent,T10178,C8835,Resolved,0,Medium,Technical,2026-01-01 09:59:00,2026-01-01 10:15:00,27
A043,Agent_43,agent43@company.com,TL04,Support,Support Agent,T10179,C4316,Resolved,1,Medium,General,2026-01-01 09:02:00,2026-01-01 10:39:00,73
A010,Agent_10,agent10@company.com,TL01,Support,Support Agent,T10180,C4402,Resolved,0,Low,Account,2026-01-01 09:44:00,2026-01-01 10:05:00,16
A035,Agent_35,agent35@company.com,TL06,Support,Support Agent,T10181,C8994,Resolved,0,High,Billing,2026-01-01 09:00:00,2026-01-01 10:30:00,20
A010,Agent_10,agent10@company.com,TL01,Support,Support Agent,T10183,C5287,Resolved,0,Low,General,2026-01-01 09:17:00,2026-01-01 10:28:00,19
A044,Agent_44,agent44@company.com,TL05,Support,Support Agent,T10186,C4798,Resolved,0,Medium,Technical,2026-01-01 09:10:00,2026-01-01 10:21:00,50
A044,Agent_44,agent44@company.com,TL05,Support,Support Agent,T10187,C4104,Resolved,0,Medium,General,2026-01-01 09:28:00,2026-01-01 10:17:00,8
A020,Agent_20,agent20@company.com,TL01,Support,Support Agent,T10190,C9041,Resolved,0,High,Billing,2026-01-01 09:30:00,2026-01-01 10:23:00,47
A012,Agent_12,agent12@company.com,TL03,Support,Support Agent,T10192,C8664,Resolved,1,High,Technical,2026-01-01 09:23:00,2026-01-01 10:32:00,79
A003,Agent_3,agent3@company.com,TL04,Support,Support Agent,T10195,C7730,Resolved,1,Medium,General,2026-01-01 09:16:00,2026-01-01 10:50:00,116
